input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
input: [SCENE]: You are trying to control a summoned elemental.,output: [OUTCOME]: Your spell is perfectly cast. The elemental is bound to your service and awaits your command.
input: [SCENE]: You are trying to control a summoned elemental.,"output: [OUTCOME]: Your spell is not strong enough. The elemental breaks free from your control and turns on you, enraged."
input: [SCENE]: You are trying to find a specific person in a tavern.,"output: [OUTCOME]: The bartender knows everyone. After a small tip, they point you to the person you're looking for, sitting in a dark corner."
input: [SCENE]: You are trying to find a specific person in a tavern.,output: [OUTCOME]: The bartender is new and doesn't know any of the regulars. They can't help you.
input: [SCENE]: You are trying to walk through a swamp without attracting the attention of the creatures within.,"output: [OUTCOME]: You move with slow, deliberate steps, causing barely a ripple in the water. The creatures of the swamp are unaware of your passage."
input: [SCENE]: You are trying to walk through a swamp without attracting the attention of the creatures within.,output: [OUTCOME]: Your armor clinks together with a loud noise that echoes across the swamp. You hear a loud splash nearby as something large is alerted to your presence.
input: [SCENE]: You are trying to find your way back to civilization from deep within the wilderness.,"output: [OUTCOME]: You know that rivers are the lifeblood of the land. You find one and follow it, confident it will eventually lead you to a settlement."
input: [SCENE]: You are trying to find your way back to civilization from deep within the wilderness.,"output: [OUTCOME]: You are in a vast, dry wilderness with no major water sources. You wander for days, becoming hopelessly lost."
input: [SCENE]: You are trying to lie to a demon.,output: [OUTCOME]: Your lie is clever and plays on the demon's arrogance. It believes you completely.
input: [SCENE]: You are trying to lie to a demon.,output: [OUTCOME]: Demons are the fathers of lies. It sees through your amateurish attempt at deception and becomes enraged at your insolence.
input: [SCENE]: You are trying to determine if a king is under the influence of a magical charm.,"output: [OUTCOME]: You notice the king's eyes have a faint, violet haze and that his speech is unnaturally monotone. He is clearly being magically controlled."
input: [SCENE]: You are trying to determine if a king is under the influence of a magical charm.,"output: [OUTCOME]: The king seems perfectly normal. If he is being controlled, the magic is too subtle for you to detect."
input: [SCENE]: You are trying to hold your breath for a long time to swim through an underwater tunnel.,"output: [OUTCOME]: You enter a calm, meditative state. Your heart rate slows, and you are able to hold your breath for an incredible length of time, easily swimming through the tunnel."
input: [SCENE]: You are trying to hold your breath for a long time to swim through an underwater tunnel.,"output: [OUTCOME]: The tunnel is longer than it looks. Your lungs burn, and you are forced to turn back before you run out of air."
input: [SCENE]: You are trying to heal a sick animal.,output: [OUTCOME]: You create a poultice that soothes the animal's fever and helps it to regain its strength.
input: [SCENE]: You are trying to heal a sick animal.,output: [OUTCOME]: You are unable to find the correct herbs in this area. You cannot create the remedy the animal needs.
"input: [SCENE]: You are trying to create a small, clockwork spy drone.","output: [OUTCOME]: You assemble the delicate gears and springs, creating a small, insect-like drone that you can control remotely. A perfect little spy."
"input: [SCENE]: You are trying to create a small, clockwork spy drone.",output: [OUTCOME]: The mainspring is too tightly wound. The device whirs for a second and then shakes itself to pieces.
input: [SCENE]: You are trying to convince a group of guards to let you enter a quarantined city.,"output: [OUTCOME]: The guards are desperate. Seeing the conviction and power in you, they agree to let you pass, seeing you as their last hope."
input: [SCENE]: You are trying to convince a group of guards to let you enter a quarantined city.,"output: [OUTCOME]: The guards are under strict orders. They sympathize with your intentions, but they cannot disobey their captain and refuse you entry."
"input: [SCENE]: You are in the eye of a hurricane, a calm vortex surrounded by raging winds.","output: [OUTCOME]: You reach out and feel a kinship with the storm. You don't command it, but you guide it, slowly dissipating its fury and calming the winds."
"input: [SCENE]: You are in the eye of a hurricane, a calm vortex surrounded by raging winds.","output: [OUTCOME]: Your magic is too wild. Instead of calming the storm, you enrage it further. The eye wall collapses, and the full fury of the hurricane is unleashed upon you."
input: [SCENE]: You are mediating in a tranquil rock garden when a rival warrior interrupts you.,"output: [OUTCOME]: You move like a leaf on the wind, effortlessly evading his strike. You land in a perfect defensive stance, ready for his next move, your calm completely unshaken."
input: [SCENE]: You are mediating in a tranquil rock garden when a rival warrior interrupts you.,"output: [OUTCOME]: Your meditative state left you a fraction too slow. His attack glances off your shoulder, breaking your concentration and forcing you to stumble back."
input: [SCENE]: You are trying to create a smoke bomb to cover an escape.,"output: [OUTCOME]: You mix the sulfur and powdered carbon in the correct proportions, creating a small pellet that will produce a thick, vision-obscuring smoke when struck."
input: [SCENE]: You are trying to create a smoke bomb to cover an escape.,"output: [OUTCOME]: You add too much of the volatile agent. The mixture flashes with a bright pop and a puff of foul green smoke, but it fails to create the thick cloud you needed."
input: [SCENE]: You are trying to convince a fearful populace to not form a mob against a suspected witch.,"output: [OUTCOME]: Your powerful, sincere words cut through their fear. You remind them of their better nature, and the mob disperses, their anger replaced with shame."
input: [SCENE]: You are trying to convince a fearful populace to not form a mob against a suspected witch.,"output: [OUTCOME]: Fear is a stronger motivator than faith today. Your words are lost in their angry shouts, and the mob lights their torches, marching towards the witch's hut."
"input: [SCENE]: You are at a high-stakes horse race, and you need to fix the outcome.","output: [OUTCOME]: You make a sharp, sudden sound that only the horse seems to hear. It startles, breaking its stride for just a moment, which is enough for your chosen horse to pull ahead and win."
