input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: The soldiers are broken by the loss of their commander. They are too consumed by fear to listen to you, and they begin to retreat."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice a faint, unnatural shimmer in the water and a lack of any fish or insects. The water is poisoned."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,"output: [OUTCOME]: The water looks clear and cool. You see no signs of contamination, though you can't be 100% certain it's safe without drinking it."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You explain how this grove is a key part of the forest's health. The loggers, who are not evil men, agree to find a different area to work."
input: [CHECK]: Nature[PASS/FAIL]: Fail,output: [OUTCOME]: The loggers only care about their profits. They are not interested in your lecture about the ecosystem and tell you to leave.
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: You discover the metal is unusually light but incredibly strong. It also seems to absorb and nullify magical energy.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The metal is completely inert. It resists all your attempts to test its properties, leaving you with no information about its nature."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: The family is moved by your compassion and generosity. Your kindness gives them a glimmer of hope in their darkest hour.
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The family is too consumed by grief and despair to be comforted. They appreciate the gesture, but your words and food do little to ease their pain."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully pick your way across the treacherous tiles, your movements sure-footed and precise."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: Your foot slips on a wet tile, and you slide down the roof, barely managing to grab onto the gutter at the last second."
input: [CHECK]: Insight[PASS/FAIL]: Pass,output: [OUTCOME]: You are a quiet and respectful observer. The locals appreciate your efforts to understand their ways and are friendly towards you.
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: You accidentally violate a major taboo, causing great offense to your hosts. They now view you with suspicion and hostility."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,output: [OUTCOME]: Your spell is perfectly cast. The elemental is bound to your service and awaits your command.
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your spell is not strong enough. The elemental breaks free from your control and turns on you, enraged."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: The bartender knows everyone. After a small tip, they point you to the person you're looking for, sitting in a dark corner."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The bartender is new and doesn't know any of the regulars. They can't help you.
input: [CHECK]: Stealth[PASS/FAIL]: Pass,"output: [OUTCOME]: You move with slow, deliberate steps, causing barely a ripple in the water. The creatures of the swamp are unaware of your passage."
input: [CHECK]: Stealth[PASS/FAIL]: Fail,output: [OUTCOME]: Your armor clinks together with a loud noise that echoes across the swamp. You hear a loud splash nearby as something large is alerted to your presence.
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You know that rivers are the lifeblood of the land. You find one and follow it, confident it will eventually lead you to a settlement."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: You are in a vast, dry wilderness with no major water sources. You wander for days, becoming hopelessly lost."
input: [CHECK]: Deception[PASS/FAIL]: Pass,output: [OUTCOME]: Your lie is clever and plays on the demon's arrogance. It believes you completely.
input: [CHECK]: Deception[PASS/FAIL]: Fail,output: [OUTCOME]: Demons are the fathers of lies. It sees through your amateurish attempt at deception and becomes enraged at your insolence.
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice the king's eyes have a faint, violet haze and that his speech is unnaturally monotone. He is clearly being magically controlled."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The king seems perfectly normal. If he is being controlled, the magic is too subtle for you to detect."
input: [CHECK]: Constitution[PASS/FAIL]: Pass,"output: [OUTCOME]: You enter a calm, meditative state. Your heart rate slows, and you are able to hold your breath for an incredible length of time, easily swimming through the tunnel."
input: [CHECK]: Constitution[PASS/FAIL]: Fail,"output: [OUTCOME]: The tunnel is longer than it looks. Your lungs burn, and you are forced to turn back before you run out of air."
input: [CHECK]: Herbalism Kit[PASS/FAIL]: Pass,output: [OUTCOME]: You create a poultice that soothes the animal's fever and helps it to regain its strength.
input: [CHECK]: Herbalism Kit[PASS/FAIL]: Fail,output: [OUTCOME]: You are unable to find the correct herbs in this area. You cannot create the remedy the animal needs.
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You assemble the delicate gears and springs, creating a small, insect-like drone that you can control remotely. A perfect little spy."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Fail,output: [OUTCOME]: The mainspring is too tightly wound. The device whirs for a second and then shakes itself to pieces.
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The guards are desperate. Seeing the conviction and power in you, they agree to let you pass, seeing you as their last hope."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The guards are under strict orders. They sympathize with your intentions, but they cannot disobey their captain and refuse you entry."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You reach out and feel a kinship with the storm. You don't command it, but you guide it, slowly dissipating its fury and calming the winds."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your magic is too wild. Instead of calming the storm, you enrage it further. The eye wall collapses, and the full fury of the hurricane is unleashed upon you."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You move like a leaf on the wind, effortlessly evading his strike. You land in a perfect defensive stance, ready for his next move, your calm completely unshaken."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: Your meditative state left you a fraction too slow. His attack glances off your shoulder, breaking your concentration and forcing you to stumble back."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Pass,"output: [OUTCOME]: You mix the sulfur and powdered carbon in the correct proportions, creating a small pellet that will produce a thick, vision-obscuring smoke when struck."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Fail,"output: [OUTCOME]: You add too much of the volatile agent. The mixture flashes with a bright pop and a puff of foul green smoke, but it fails to create the thick cloud you needed."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: Your powerful, sincere words cut through their fear. You remind them of their better nature, and the mob disperses, their anger replaced with shame."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: Fear is a stronger motivator than faith today. Your words are lost in their angry shouts, and the mob lights their torches, marching towards the witch's hut."
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: You make a sharp, sudden sound that only the horse seems to hear. It startles, breaking its stride for just a moment, which is enough for your chosen horse to pull ahead and win."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: Your attempt to spook the horse is too obvious. The jockey sees you and shouts for the guards, pointing you out as you try to slip back into the crowd."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a furious roar, you send the log flying end over end. It soars through the air, landing far beyond any of the previous attempts and setting a new festival record."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: You tap into your rage, but your form is sloppy. The log tumbles awkwardly from your hands and lands with a disappointing thud, one of the shortest throws of the day."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: It's like a complex puzzle, but you have a keen eye for patterns. You are able to reassemble the tablet, revealing a map to a hidden temple."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: Too many of the key pieces are missing or have crumbled to dust. You can reassemble parts of it, but the full inscription is lost forever."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: You have a natural rhythm and quickly pick up the steps. You join the dance, and your enthusiastic performance earns a hearty laugh and a nod of approval from the chieftain."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: The local dance has a complex rhythm that you just can't seem to grasp. Your clumsy attempts are more comical than impressive, and you trip over your own feet."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You enter a state of prayer, and a divine vision is granted to you. You see the sickness not as a disease, but as a slow-acting curse originating from a tainted well."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,"output: [OUTCOME]: You pray for guidance, but the heavens are silent. The nature of this sickness remains hidden from you, a frustrating and deadly mystery."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: Your aim is true. The grappling hook sails across the chasm and catches securely on a rock outcropping, allowing you to anchor a rope."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,output: [OUTCOME]: You misjudge the wind. The grappling hook misses its mark and clatters uselessly into the depths of the chasm below. It is lost.
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: You construct a careful facade of innocence and good intentions. The Paladin, while perhaps suspicious, has no reason to doubt your word and lets you pass."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: The Paladin's divine sense allows them to feel the faint aura of your pact. 'There is a darkness about you, Warlock,' they say, their hand resting on their sword. 'Your words are hollow.'"
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice a street vendor who looks particularly frightened. After a reassuring word, they tell you they saw a group of armed men matching the bandits' description heading towards the docks."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The city is a chaotic swirl of activity. The bandits have disappeared into the crowd like ghosts, leaving no trail for you to follow."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus, and a tiny mote of fire appears above the candle's wick, lighting it with a soft glow. No one notices."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: Your wild magic surges unpredictably. Instead of a tiny spark, a foot-long jet of flame shoots from your hand, startling everyone in the room."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You run towards the wall and then straight up it, your feet moving so fast they defy gravity. You easily reach the ledge above."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: You get a few steps up the wall before gravity reasserts itself. You slide back down, unable to get the momentum you need."
