input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I try to create a contract that is magically binding. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You draft a contract in infernal script, filled with clever clauses and binding magic. The imp signs it, trapped by its own greed."
input:  [ACTION]: I try to create a contract that is magically binding. [CHECK]: Arcana [PASS/FAIL]: Fail,output: [OUTCOME]: Imps are masters of contracts. It finds a tiny loophole in your wording and is able to twist the terms of the deal in its favor.
input:  [ACTION]: I take command and try to lead them to victory. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: Your commanding presence and unwavering courage inspire the soldiers. They rally to you, ready to follow you back into the fray."
input:  [ACTION]: I take command and try to lead them to victory. [CHECK]: Intimidation [PASS/FAIL]: Fail,"output: [OUTCOME]: The soldiers are broken by the loss of their commander. They are too consumed by fear to listen to you, and they begin to retreat."
input:  [ACTION]: I inspect the water for any signs of contamination. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice a faint, unnatural shimmer in the water and a lack of any fish or insects. The water is poisoned."
input:  [ACTION]: I inspect the water for any signs of contamination. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: The water looks clear and cool. You see no signs of contamination, though you can't be 100% certain it's safe without drinking it."
input:  [ACTION]: I try to explain the importance of the grove to the ecosystem. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You explain how this grove is a key part of the forest's health. The loggers, who are not evil men, agree to find a different area to work."
input:  [ACTION]: I try to explain the importance of the grove to the ecosystem. [CHECK]: Nature [PASS/FAIL]: Fail,output: [OUTCOME]: The loggers only care about their profits. They are not interested in your lecture about the ecosystem and tell you to leave.
input:  [ACTION]: I try to determine its properties. [CHECK]: Investigation [PASS/FAIL]: Pass,output: [OUTCOME]: You discover the metal is unusually light but incredibly strong. It also seems to absorb and nullify magical energy.
input:  [ACTION]: I try to determine its properties. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The metal is completely inert. It resists all your attempts to test its properties, leaving you with no information about its nature."
input:  [ACTION]: I offer them my prayers and what little food I have. [CHECK]: Persuasion [PASS/FAIL]: Pass,output: [OUTCOME]: The family is moved by your compassion and generosity. Your kindness gives them a glimmer of hope in their darkest hour.
input:  [ACTION]: I offer them my prayers and what little food I have. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: The family is too consumed by grief and despair to be comforted. They appreciate the gesture, but your words and food do little to ease their pain."
input:  [ACTION]: I try to move across the roof without falling. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully pick your way across the treacherous tiles, your movements sure-footed and precise."
input:  [ACTION]: I try to move across the roof without falling. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: Your foot slips on a wet tile, and you slide down the roof, barely managing to grab onto the gutter at the last second."
input:  [ACTION]: I try to observe their traditions without causing offense. [CHECK]: Insight [PASS/FAIL]: Pass,output: [OUTCOME]: You are a quiet and respectful observer. The locals appreciate your efforts to understand their ways and are friendly towards you.
input:  [ACTION]: I try to observe their traditions without causing offense. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: You accidentally violate a major taboo, causing great offense to your hosts. They now view you with suspicion and hostility."
input:  [ACTION]: I try to bind it to my will with a powerful spell. [CHECK]: Arcana [PASS/FAIL]: Pass,output: [OUTCOME]: Your spell is perfectly cast. The elemental is bound to your service and awaits your command.
input:  [ACTION]: I try to bind it to my will with a powerful spell. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: Your spell is not strong enough. The elemental breaks free from your control and turns on you, enraged."
input:  [ACTION]: I ask the bartender for information. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: The bartender knows everyone. After a small tip, they point you to the person you're looking for, sitting in a dark corner."
input:  [ACTION]: I ask the bartender for information. [CHECK]: Investigation [PASS/FAIL]: Fail,output: [OUTCOME]: The bartender is new and doesn't know any of the regulars. They can't help you.
input:  [ACTION]: I try to move quietly through the murky water. [CHECK]: Stealth [PASS/FAIL]: Pass,"output: [OUTCOME]: You move with slow, deliberate steps, causing barely a ripple in the water. The creatures of the swamp are unaware of your passage."
input:  [ACTION]: I try to move quietly through the murky water. [CHECK]: Stealth [PASS/FAIL]: Fail,output: [OUTCOME]: Your armor clinks together with a loud noise that echoes across the swamp. You hear a loud splash nearby as something large is alerted to your presence.
input:  [ACTION]: I try to find a river and follow it downstream. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: You know that rivers are the lifeblood of the land. You find one and follow it, confident it will eventually lead you to a settlement."
input:  [ACTION]: I try to find a river and follow it downstream. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: You are in a vast, dry wilderness with no major water sources. You wander for days, becoming hopelessly lost."
input:  [ACTION]: I try to deceive the infernal creature. [CHECK]: Deception [PASS/FAIL]: Pass,output: [OUTCOME]: Your lie is clever and plays on the demon's arrogance. It believes you completely.
input:  [ACTION]: I try to deceive the infernal creature. [CHECK]: Deception [PASS/FAIL]: Fail,output: [OUTCOME]: Demons are the fathers of lies. It sees through your amateurish attempt at deception and becomes enraged at your insolence.
input:  [ACTION]: I look for any signs of magical compulsion. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice the king's eyes have a faint, violet haze and that his speech is unnaturally monotone. He is clearly being magically controlled."
input:  [ACTION]: I look for any signs of magical compulsion. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: The king seems perfectly normal. If he is being controlled, the magic is too subtle for you to detect."
input:  [ACTION]: I try to control my breathing and conserve oxygen. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: You enter a calm, meditative state. Your heart rate slows, and you are able to hold your breath for an incredible length of time, easily swimming through the tunnel."
input:  [ACTION]: I try to control my breathing and conserve oxygen. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The tunnel is longer than it looks. Your lungs burn, and you are forced to turn back before you run out of air."
input:  [ACTION]: I use my knowledge of herbs to create a remedy. [CHECK]: Herbalism Kit [PASS/FAIL]: Pass,output: [OUTCOME]: You create a poultice that soothes the animal's fever and helps it to regain its strength.
input:  [ACTION]: I use my knowledge of herbs to create a remedy. [CHECK]: Herbalism Kit [PASS/FAIL]: Fail,output: [OUTCOME]: You are unable to find the correct herbs in this area. You cannot create the remedy the animal needs.
input:  [ACTION]: I use my skills to build the device. [CHECK]: Tinker's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: You assemble the delicate gears and springs, creating a small, insect-like drone that you can control remotely. A perfect little spy."
input:  [ACTION]: I use my skills to build the device. [CHECK]: Tinker's Tools [PASS/FAIL]: Fail,output: [OUTCOME]: The mainspring is too tightly wound. The device whirs for a second and then shakes itself to pieces.
input:  [ACTION]: I explain that my divine power can help cure the plague within. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: The guards are desperate. Seeing the conviction and power in you, they agree to let you pass, seeing you as their last hope."
input:  [ACTION]: I explain that my divine power can help cure the plague within. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: The guards are under strict orders. They sympathize with your intentions, but they cannot disobey their captain and refuse you entry."
input:  [ACTION]: I try to use my innate storm magic to calm the hurricane. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You reach out and feel a kinship with the storm. You don't command it, but you guide it, slowly dissipating its fury and calming the winds."
input:  [ACTION]: I try to use my innate storm magic to calm the hurricane. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: Your magic is too wild. Instead of calming the storm, you enrage it further. The eye wall collapses, and the full fury of the hurricane is unleashed upon you."
input:  [ACTION]: I try to dodge his surprise attack and flow into a defensive stance. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: You move like a leaf on the wind, effortlessly evading his strike. You land in a perfect defensive stance, ready for his next move, your calm completely unshaken."
input:  [ACTION]: I try to dodge his surprise attack and flow into a defensive stance. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: Your meditative state left you a fraction too slow. His attack glances off your shoulder, breaking your concentration and forcing you to stumble back."
input:  [ACTION]: I use my alchemist's supplies to mix the reagents. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Pass,"output: [OUTCOME]: You mix the sulfur and powdered carbon in the correct proportions, creating a small pellet that will produce a thick, vision-obscuring smoke when struck."
input:  [ACTION]: I use my alchemist's supplies to mix the reagents. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Fail,"output: [OUTCOME]: You add too much of the volatile agent. The mixture flashes with a bright pop and a puff of foul green smoke, but it fails to create the thick cloud you needed."
input:  [ACTION]: I appeal to their sense of justice and compassion. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: Your powerful, sincere words cut through their fear. You remind them of their better nature, and the mob disperses, their anger replaced with shame."
input:  [ACTION]: I appeal to their sense of justice and compassion. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: Fear is a stronger motivator than faith today. Your words are lost in their angry shouts, and the mob lights their torches, marching towards the witch's hut."
input:  [ACTION]: I try to subtly spook the lead horse as it rounds the final turn. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: You make a sharp, sudden sound that only the horse seems to hear. It startles, breaking its stride for just a moment, which is enough for your chosen horse to pull ahead and win."
input:  [ACTION]: I try to subtly spook the lead horse as it rounds the final turn. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: Your attempt to spook the horse is too obvious. The jockey sees you and shouts for the guards, pointing you out as you try to slip back into the crowd."
